Date (Denmark),Price,Open,High,Low,Change %
2019-02-11,0.252,0.229,0.262,0.223,12.50%
2019-02-08,0.224,0.254,0.259,0.212,-11.81%
2019-02-07,0.254,0.301,0.311,0.246,-18.85%
2019-02-06,0.313,0.311,0.322,0.295,-1.57%
2019-02-05,0.318,0.332,0.356,0.315,-5.36%
2019-02-04,0.336,0.319,0.339,0.308,5.66%
2019-02-01,0.318,0.313,0.324,0.294,2.25%
2019-01-31,0.311,0.318,0.338,0.300,-9.06%
2019-01-30,0.342,0.336,0.358,0.329,-2.84%
2019-01-29,0.352,0.346,0.366,0.343,-2.49%
2019-01-28,0.361,0.348,0.376,0.340,150.69%
2019-01-25,0.144,0.124,0.152,0.112,14.29%
2019-01-24,0.126,0.160,0.161,0.119,-27.59%
2019-01-23,0.174,0.147,0.189,0.143,6.75%
2019-01-22,0.163,0.177,0.196,0.158,-16.84%
2019-01-21,0.196,0.199,0.203,0.175,-0.51%
2019-01-18,0.197,0.184,0.216,0.173,6.49%
2019-01-17,0.185,0.142,0.186,0.136,11.45%
2019-01-16,0.166,0.155,0.181,0.135,18.57%
2019-01-15,0.140,0.166,0.167,0.124,-13.58%
2019-01-14,0.162,0.169,0.170,0.128,-1.22%
2019-01-11,0.164,0.180,0.182,0.143,-10.38%
2019-01-10,0.183,0.190,0.196,0.162,-4.19%
2019-01-09,0.191,0.225,0.238,0.178,-15.11%
2019-01-08,0.225,0.226,0.239,0.208,6.64%
2019-01-07,0.211,0.190,0.218,0.175,1.93%
2019-01-04,0.207,0.161,0.214,0.157,40.82%
2019-01-03,0.147,0.157,0.183,0.135,-10.91%
2019-01-02,0.165,0.224,0.224,0.135,-30.08%
2018-12-28,0.236,0.236,0.243,0.209,7.27%
2018-12-27,0.220,0.224,0.237,0.207,-9.47%
2018-12-21,0.243,0.237,0.246,0.222,8.00%
2018-12-20,0.225,0.197,0.237,0.182,-0.44%
2018-12-19,0.226,0.218,0.242,0.212,-2.16%
2018-12-18,0.231,0.217,0.239,0.206,-2.12%
2018-12-17,0.236,0.234,0.253,0.223,0.85%
2018-12-14,0.234,0.257,0.263,0.223,-12.36%
2018-12-13,0.267,0.280,0.296,0.240,1.14%
2018-12-12,0.264,0.235,0.268,0.210,18.39%
2018-12-11,0.223,0.248,0.263,0.210,-1.33%
2018-12-10,0.226,0.213,0.251,0.212,-1.31%
2018-12-07,0.229,0.220,0.248,0.203,9.57%
2018-12-06,0.209,0.240,0.255,0.197,-19.31%
2018-12-05,0.259,0.235,0.261,0.214,9.75%
2018-12-04,0.236,0.265,0.274,0.236,-15.11%
2018-12-03,0.278,0.313,0.317,0.263,3.73%
2018-11-30,0.268,0.294,0.298,0.266,-6.94%
2018-11-29,0.288,0.308,0.314,0.278,-11.11%
2018-11-28,0.324,0.313,0.330,0.297,2.21%
2018-11-27,0.317,0.298,0.330,0.291,-5.65%
2018-11-26,0.336,0.332,0.346,0.315,7.69%
2018-11-23,0.312,0.339,0.355,0.295,-7.69%
2018-11-22,0.338,0.340,0.354,0.319,-5.32%
2018-11-21,0.357,0.338,0.363,0.330,8.51%
2018-11-20,0.329,0.336,0.344,0.310,-4.36%
2018-11-19,0.344,0.350,0.374,0.337,1.47%
2018-11-16,0.339,0.338,0.351,0.326,4.95%
2018-11-15,0.323,0.362,0.374,0.312,-12.47%
2018-11-14,0.369,0.350,0.382,0.341,0.27%
2018-11-13,0.368,0.345,0.372,0.336,6.67%
2018-11-12,0.345,0.359,0.368,0.332,-4.96%
2018-11-09,0.363,0.398,0.400,0.362,-12.53%
2018-11-08,0.415,0.410,0.427,0.396,2.22%
2018-11-07,0.406,0.371,0.415,0.368,5.45%
2018-11-06,0.385,0.385,0.396,0.356,1.32%
2018-11-05,0.380,0.376,0.398,0.364,-3.80%
2018-11-02,0.395,0.386,0.400,0.367,7.63%
2018-11-01,0.367,0.358,0.381,0.340,7.31%
2018-10-31,0.342,0.345,0.364,0.326,2.70%
2018-10-30,0.333,0.330,0.366,0.317,2.78%
2018-10-29,0.324,0.306,0.354,0.294,11.72%
2018-10-26,0.290,0.335,0.342,0.287,-14.96%
2018-10-25,0.341,0.344,0.370,0.330,-0.29%
2018-10-24,0.342,0.377,0.390,0.336,-8.80%
2018-10-23,0.375,0.400,0.408,0.359,-8.98%
2018-10-22,0.412,0.444,0.452,0.390,2.23%
2018-10-19,0.403,0.373,0.412,0.348,2.54%
2018-10-18,0.393,0.417,0.443,0.387,-6.21%
2018-10-17,0.419,0.447,0.448,0.403,-7.71%
2018-10-16,0.454,0.476,0.476,0.437,0.67%
2018-10-15,0.451,0.436,0.465,0.433,-0.44%
2018-10-12,0.453,0.488,0.505,0.447,-2.37%
2018-10-11,0.464,0.445,0.491,0.445,-6.64%
2018-10-10,0.497,0.485,0.535,0.477,2.05%
2018-10-09,0.487,0.500,0.526,0.482,-1.42%
2018-10-08,0.494,0.508,0.525,0.467,-4.08%
2018-10-05,0.515,0.478,0.525,0.472,7.97%
2018-10-04,0.477,0.481,0.494,0.445,15.78%
2018-10-03,0.412,0.395,0.428,0.371,10.46%
2018-10-02,0.373,0.369,0.400,0.340,-9.69%
2018-10-01,0.413,0.414,0.444,0.401,-1.20%
2018-09-28,0.418,0.431,0.446,0.378,-11.63%
2018-09-27,0.473,0.421,0.473,0.407,-0.63%
2018-09-26,0.476,0.484,0.489,0.458,-3.64%
2018-09-25,0.494,0.462,0.496,0.456,6.70%
2018-09-24,0.463,0.403,0.465,0.387,13.76%
2018-09-21,0.407,0.404,0.422,0.384,-3.33%
2018-09-20,0.421,0.422,0.442,0.401,-1.17%
2018-09-19,0.426,0.430,0.437,0.391,0.95%
2018-09-18,0.422,0.392,0.426,0.375,5.24%
2018-09-17,0.401,0.393,0.414,0.376,10.47%
2018-09-16,0.363,0.366,0.376,0.362,-8.33%
2018-09-14,0.396,0.364,0.406,0.364,5.60%
2018-09-13,0.375,0.360,0.388,0.343,0.27%
2018-09-12,0.374,0.378,0.391,0.352,-6.03%
2018-09-11,0.398,0.371,0.402,0.366,9.64%
2018-09-10,0.363,0.336,0.373,0.319,6.76%
2018-09-07,0.340,0.308,0.346,0.301,10.75%
2018-09-06,0.307,0.337,0.352,0.305,-12.78%
2018-09-05,0.352,0.323,0.364,0.310,9.32%
2018-09-04,0.322,0.318,0.332,0.296,4.55%
2018-09-03,0.308,0.312,0.320,0.280,1.32%
2018-08-31,0.304,0.319,0.334,0.295,-7.03%
2018-08-30,0.327,0.378,0.388,0.318,-15.06%
2018-08-29,0.385,0.349,0.389,0.340,8.45%
2018-08-28,0.355,0.350,0.373,0.326,1.43%
2018-08-27,0.350,0.302,0.361,0.296,9.72%
2018-08-24,0.319,0.325,0.343,0.307,-0.62%
2018-08-23,0.321,0.312,0.335,0.309,-0.93%
2018-08-22,0.324,0.299,0.334,0.293,3.18%
2018-08-21,0.314,0.292,0.317,0.275,10.18%
2018-08-20,0.285,0.282,0.303,0.273,1.06%
2018-08-17,0.282,0.304,0.304,0.264,-3.75%
2018-08-16,0.293,0.298,0.307,0.276,5.78%
2018-08-15,0.277,0.301,0.323,0.266,-10.36%
2018-08-14,0.309,0.308,0.320,0.296,5.46%
2018-08-13,0.293,0.283,0.309,0.270,3.17%
2018-08-10,0.284,0.305,0.323,0.282,-17.20%
2018-08-09,0.343,0.355,0.370,0.333,-7.80%
2018-08-08,0.372,0.376,0.392,0.361,-2.11%
2018-08-07,0.380,0.358,0.391,0.351,6.74%
2018-08-06,0.356,0.387,0.403,0.351,-6.56%
2018-08-03,0.381,0.410,0.429,0.378,-12.81%
2018-08-02,0.437,0.437,0.452,0.409,-3.74%
2018-08-01,0.454,0.423,0.464,0.420,9.40%
2018-07-31,0.415,0.374,0.426,0.374,0.24%
2018-07-30,0.414,0.349,0.427,0.342,14.36%
2018-07-27,0.362,0.364,0.375,0.347,2.55%
2018-07-26,0.353,0.375,0.380,0.335,4.44%
2018-07-25,0.338,0.344,0.361,0.328,-3.43%
2018-07-24,0.350,0.376,0.397,0.347,-5.91%
2018-07-23,0.372,0.350,0.378,0.338,8.14%
2018-07-20,0.344,0.308,0.353,0.283,12.42%
2018-07-19,0.306,0.322,0.342,0.299,-5.85%
2018-07-18,0.325,0.327,0.339,0.297,-2.40%
2018-07-17,0.333,0.341,0.348,0.321,-5.13%
2018-07-16,0.351,0.316,0.356,0.314,11.08%
2018-07-13,0.316,0.330,0.340,0.298,-4.82%
2018-07-12,0.332,0.352,0.362,0.324,-7.00%
2018-07-11,0.357,0.329,0.363,0.319,3.48%
2018-07-10,0.345,0.336,0.360,0.331,3.92%
2018-07-09,0.332,0.331,0.352,0.322,4.40%
2018-07-06,0.318,0.351,0.354,0.307,-5.36%
2018-07-05,0.336,0.344,0.382,0.327,-1.18%
2018-07-04,0.340,0.323,0.346,0.308,5.92%
2018-07-03,0.321,0.349,0.356,0.307,-0.31%
2018-07-02,0.322,0.311,0.343,0.299,-2.13%
2018-06-29,0.329,0.358,0.379,0.317,-3.52%
2018-06-28,0.341,0.350,0.357,0.315,-0.58%
2018-06-27,0.343,0.364,0.371,0.326,-5.51%
2018-06-26,0.363,0.381,0.394,0.342,0.28%
2018-06-25,0.362,0.358,0.378,0.332,-0.55%
2018-06-22,0.364,0.369,0.389,0.352,1.68%
2018-06-21,0.358,0.419,0.419,0.341,-12.90%
2018-06-20,0.411,0.406,0.418,0.384,4.05%
2018-06-19,0.395,0.399,0.408,0.370,-6.84%
2018-06-18,0.424,0.426,0.439,0.404,-2.30%
2018-06-15,0.434,0.440,0.447,0.394,-4.41%
2018-06-14,0.454,0.507,0.546,0.444,-10.45%
2018-06-13,0.507,0.492,0.530,0.486,0.60%
2018-06-12,0.504,0.521,0.539,0.503,0.80%
2018-06-11,0.500,0.491,0.520,0.464,11.11%
2018-06-08,0.450,0.461,0.471,0.400,-10.89%
2018-06-07,0.505,0.498,0.531,0.487,7.45%
2018-06-06,0.470,0.422,0.485,0.400,11.37%
2018-06-05,0.422,0.437,0.439,0.422,-3.43%
2018-06-04,0.437,0.419,0.444,0.394,11.76%
2018-06-01,0.391,0.390,0.428,0.368,14.33%
2018-05-31,0.342,0.394,0.432,0.328,-2.84%
2018-05-30,0.352,0.338,0.388,0.314,10.00%
2018-05-29,0.320,0.359,0.389,0.230,-17.10%
2018-05-28,0.386,0.491,0.505,0.381,-14.22%
2018-05-25,0.450,0.504,0.521,0.423,-10.54%
2018-05-24,0.503,0.549,0.574,0.496,-5.63%
2018-05-23,0.533,0.579,0.579,0.522,-10.87%
2018-05-22,0.598,0.552,0.603,0.552,3.10%
2018-05-21,0.580,0.603,0.604,0.580,-3.17%
2018-05-20,0.599,0.599,0.599,0.599,0.00%
2018-05-18,0.599,0.647,0.662,0.599,-8.83%
2018-05-17,0.657,0.671,0.672,0.614,3.96%
2018-05-16,0.632,0.648,0.665,0.604,-4.96%
2018-05-15,0.665,0.643,0.674,0.633,4.56%
2018-05-14,0.636,0.574,0.643,0.574,10.23%
2018-05-11,0.577,0.576,0.590,0.562,0.17%
2018-05-10,0.576,0.580,0.590,0.558,-1.87%
2018-05-09,0.587,0.590,0.612,0.574,0.34%
2018-05-08,0.585,0.562,0.590,0.550,6.36%
2018-05-07,0.550,0.558,0.571,0.539,-3.85%
2018-05-04,0.572,0.544,0.574,0.537,4.38%
2018-05-03,0.548,0.591,0.608,0.537,-6.80%
2018-05-02,0.588,0.591,0.607,0.582,0.51%
2018-05-01,0.585,0.591,0.591,0.585,0.86%
2018-04-30,0.580,0.589,0.608,0.577,-1.02%
2018-04-27,0.586,0.598,0.606,0.582,-3.14%
2018-04-26,0.605,0.647,0.651,0.591,-7.21%
2018-04-25,0.652,0.641,0.670,0.636,0.31%
2018-04-24,0.650,0.637,0.672,0.616,0.62%
2018-04-23,0.646,0.645,0.659,0.630,4.36%
2018-04-20,0.619,0.612,0.637,0.596,-0.64%
2018-04-19,0.623,0.571,0.625,0.560,10.85%
2018-04-18,0.562,0.541,0.562,0.517,4.66%
2018-04-17,0.537,0.556,0.570,0.530,-2.36%
2018-04-16,0.550,0.546,0.583,0.544,3.38%
2018-04-13,0.532,0.533,0.559,0.525,-0.56%
2018-04-12,0.535,0.520,0.539,0.503,5.11%
2018-04-11,0.509,0.526,0.535,0.496,-5.74%
2018-04-10,0.540,0.528,0.549,0.497,3.45%
2018-04-09,0.522,0.526,0.534,0.507,0.38%
2018-04-06,0.520,0.538,0.552,0.510,-6.64%
2018-04-05,0.557,0.564,0.576,0.544,3.15%
2018-04-04,0.540,0.549,0.558,0.518,-1.64%
2018-04-03,0.549,0.529,0.568,0.529,1.48%
2018-03-29,0.541,0.548,0.555,0.535,-0.73%
2018-03-28,0.545,0.551,0.558,0.516,-1.09%
2018-03-27,0.551,0.587,0.592,0.550,-3.67%
2018-03-26,0.572,0.578,0.601,0.561,-0.87%
2018-03-23,0.577,0.585,0.606,0.566,0.00%
2018-03-22,0.577,0.631,0.638,0.565,-12.18%
2018-03-21,0.657,0.648,0.669,0.636,2.98%
2018-03-20,0.638,0.627,0.655,0.626,3.40%
2018-03-19,0.617,0.629,0.668,0.617,-1.75%
2018-03-16,0.628,0.619,0.647,0.611,0.48%
2018-03-15,0.625,0.638,0.653,0.613,-2.95%
2018-03-14,0.644,0.665,0.687,0.632,-3.45%
2018-03-13,0.667,0.692,0.696,0.656,-2.91%
2018-03-12,0.687,0.704,0.716,0.678,-2.69%
2018-03-09,0.706,0.703,0.719,0.681,0.43%
2018-03-08,0.703,0.724,0.768,0.690,-3.03%
2018-03-07,0.725,0.727,0.749,0.708,-1.89%
2018-03-06,0.739,0.718,0.774,0.706,6.03%
2018-03-05,0.697,0.664,0.709,0.655,-1.13%
2018-03-02,0.705,0.683,0.709,0.669,-0.14%
2018-03-01,0.706,0.724,0.732,0.685,-3.29%
2018-02-28,0.730,0.753,0.761,0.725,-1.88%
2018-02-27,0.744,0.726,0.756,0.718,2.76%
2018-02-26,0.724,0.720,0.746,0.708,-0.14%
2018-02-23,0.725,0.764,0.770,0.718,-5.35%
2018-02-22,0.766,0.796,0.814,0.756,-4.37%
2018-02-21,0.801,0.794,0.808,0.766,-0.12%
2018-02-20,0.802,0.835,0.850,0.789,-1.96%
2018-02-19,0.818,0.800,0.833,0.793,4.34%
2018-02-18,0.784,0.784,0.784,0.784,-0.25%
2018-02-16,0.786,0.842,0.842,0.782,-5.98%
2018-02-15,0.836,0.843,0.872,0.822,1.83%
2018-02-14,0.821,0.802,0.846,0.789,1.23%
2018-02-13,0.811,0.819,0.822,0.789,-1.34%
2018-02-12,0.822,0.853,0.855,0.808,-0.36%
2018-02-09,0.825,0.830,0.841,0.789,-0.96%
2018-02-08,0.833,0.804,0.869,0.782,5.84%
2018-02-07,0.787,0.765,0.789,0.740,5.35%
2018-02-06,0.747,0.745,0.775,0.717,-5.08%
2018-02-05,0.787,0.783,0.797,0.758,0.25%
2018-02-02,0.785,0.755,0.796,0.749,6.51%
2018-02-01,0.737,0.740,0.771,0.717,0.68%
2018-01-31,0.732,0.703,0.736,0.684,2.38%
2018-01-30,0.715,0.714,0.727,0.691,-1.65%
2018-01-29,0.727,0.668,0.734,0.654,11.50%
2018-01-26,0.652,0.629,0.655,0.611,2.35%
2018-01-25,0.637,0.600,0.668,0.587,3.24%
2018-01-24,0.617,0.600,0.627,0.592,4.05%
2018-01-23,0.593,0.581,0.600,0.564,0.00%
2018-01-22,0.593,0.595,0.618,0.583,0.17%
2018-01-19,0.592,0.602,0.622,0.578,-0.84%
2018-01-18,0.597,0.600,0.621,0.584,3.65%
2018-01-17,0.576,0.576,0.588,0.560,-0.52%
2018-01-16,0.579,0.588,0.595,0.559,-3.18%
2018-01-15,0.598,0.589,0.598,0.565,-0.50%
2018-01-12,0.601,0.604,0.615,0.575,0.33%
2018-01-11,0.599,0.523,0.601,0.515,8.71%
2018-01-10,0.551,0.546,0.563,0.528,2.61%
2018-01-09,0.537,0.511,0.537,0.481,7.83%
2018-01-08,0.498,0.515,0.523,0.477,-1.39%
2018-01-05,0.505,0.502,0.513,0.479,0.40%
2018-01-04,0.503,0.520,0.532,0.496,-1.37%
2018-01-03,0.510,0.505,0.522,0.481,0.20%
2018-01-02,0.509,0.484,0.513,0.482,6.71%
2017-12-29,0.477,0.475,0.498,0.463,1.27%
2017-12-28,0.471,0.435,0.480,0.434,8.28%
2017-12-27,0.435,0.477,0.480,0.434,-8.03%
2017-12-22,0.473,0.470,0.482,0.462,-0.84%
2017-12-21,0.477,0.478,0.498,0.462,0.42%
2017-12-20,0.475,0.446,0.491,0.440,4.40%
2017-12-19,0.455,0.404,0.462,0.390,16.97%
2017-12-18,0.389,0.388,0.399,0.373,1.57%
2017-12-16,0.383,0.383,0.383,0.383,0.00%
2017-12-15,0.383,0.395,0.402,0.370,-8.15%
2017-12-14,0.417,0.409,0.435,0.401,1.21%
2017-12-13,0.412,0.414,0.441,0.405,-2.14%
2017-12-12,0.421,0.387,0.424,0.386,8.51%
2017-12-11,0.388,0.390,0.408,0.370,0.52%
2017-12-08,0.386,0.392,0.403,0.375,3.76%
2017-12-07,0.372,0.402,0.404,0.370,-1.85%
2017-12-06,0.379,0.374,0.401,0.364,-3.56%
2017-12-05,0.393,0.410,0.414,0.390,-2.48%
2017-12-04,0.403,0.418,0.419,0.390,10.71%
2017-12-01,0.364,0.440,0.440,0.361,-17.65%
2017-11-30,0.442,0.465,0.476,0.425,-3.49%
2017-11-29,0.458,0.406,0.464,0.403,14.50%
2017-11-28,0.400,0.407,0.418,0.390,-3.61%
2017-11-27,0.415,0.435,0.441,0.405,-5.03%
2017-11-24,0.437,0.435,0.447,0.419,2.82%
2017-11-23,0.425,0.429,0.442,0.423,-2.97%
2017-11-22,0.438,0.420,0.462,0.415,0.23%
2017-11-21,0.437,0.442,0.465,0.421,-2.89%
2017-11-20,0.450,0.442,0.465,0.439,-1.75%
2017-11-17,0.458,0.467,0.488,0.451,-3.58%
2017-11-16,0.475,0.469,0.494,0.463,0.21%
2017-11-15,0.474,0.461,0.484,0.445,-1.25%
2017-11-14,0.480,0.516,0.518,0.473,-5.51%
2017-11-13,0.508,0.497,0.516,0.475,0.40%
2017-11-10,0.506,0.486,0.506,0.477,6.30%
2017-11-09,0.476,0.424,0.483,0.408,14.42%
2017-11-08,0.416,0.411,0.430,0.401,-0.72%
2017-11-07,0.419,0.433,0.442,0.415,-2.10%
2017-11-06,0.428,0.445,0.464,0.417,-6.35%
2017-11-03,0.457,0.469,0.471,0.444,-1.30%
2017-11-02,0.463,0.481,0.499,0.462,-2.32%
2017-11-01,0.474,0.473,0.489,0.466,0.85%
2017-10-31,0.470,0.466,0.491,0.459,0.86%
2017-10-30,0.466,0.492,0.498,0.465,-3.72%
2017-10-29,0.484,0.484,0.484,0.484,-0.82%
2017-10-27,0.488,0.526,0.536,0.488,-9.12%
2017-10-26,0.537,0.574,0.585,0.527,-7.57%
2017-10-25,0.581,0.588,0.600,0.566,-0.68%
2017-10-24,0.585,0.546,0.590,0.546,7.14%
2017-10-23,0.546,0.542,0.557,0.535,-3.70%
2017-10-22,0.567,0.567,0.567,0.567,0.53%
2017-10-20,0.564,0.539,0.569,0.534,11.24%
2017-10-19,0.507,0.519,0.525,0.487,-1.55%
2017-10-18,0.515,0.496,0.517,0.470,6.40%
2017-10-17,0.484,0.490,0.496,0.468,-0.21%
2017-10-16,0.485,0.541,0.541,0.481,-7.44%
2017-10-13,0.524,0.555,0.555,0.518,-6.93%
2017-10-12,0.563,0.572,0.585,0.552,-1.92%
2017-10-11,0.574,0.578,0.583,0.561,3.24%
2017-10-10,0.556,0.569,0.580,0.544,-1.24%
2017-10-09,0.563,0.576,0.578,0.562,-2.43%
2017-10-06,0.577,0.577,0.616,0.569,0.87%
2017-10-05,0.572,0.569,0.577,0.539,2.88%
2017-10-04,0.556,0.533,0.558,0.508,0.36%
2017-10-03,0.554,0.549,0.584,0.543,2.21%
2017-10-02,0.542,0.576,0.582,0.531,-2.69%
