Date (Austria),Price,Open,High,Low,Change %
2021-07-23,-0.200,-0.186,-0.168,-0.200,1.01%
2021-07-22,-0.198,-0.163,-0.149,-0.203,18.56%
2021-07-21,-0.167,-0.194,-0.150,-0.201,-2.91%
2021-07-20,-0.172,-0.178,-0.167,-0.210,8.86%
2021-07-19,-0.158,-0.145,-0.136,-0.183,15.33%
2021-07-16,-0.137,-0.130,-0.114,-0.145,20.18%
2021-07-15,-0.114,-0.123,-0.102,-0.136,0.88%
2021-07-14,-0.113,-0.080,-0.062,-0.115,17.71%
2021-07-13,-0.096,-0.092,-0.079,-0.106,11.63%
2021-07-12,-0.086,-0.083,-0.071,-0.106,7.50%
2021-07-09,-0.080,-0.091,-0.067,-0.110,-21.57%
2021-07-08,-0.102,-0.112,-0.085,-0.144,9.68%
2021-07-07,-0.093,-0.065,-0.063,-0.116,27.40%
2021-07-06,-0.073,-0.001,0.007,-0.078,508.33%
2021-07-05,-0.012,-0.025,-0.003,-0.033,-68.83%
2021-07-04,-0.038,-0.038,-0.038,-0.038,6.94%
2021-07-02,-0.036,0.003,0.004,-0.040,"-3,700.00%"
2021-07-01,0.001,0.014,0.030,-0.008,-75.00%
2021-06-30,0.004,0.037,0.052,-0.005,-89.74%
2021-06-29,0.039,0.034,0.054,0.020,30.00%
2021-06-28,0.030,0.051,0.062,0.027,-41.18%
2021-06-26,0.051,0.051,0.051,0.051,-17.74%
2021-06-25,0.062,0.026,0.067,0.017,226.32%
2021-06-24,0.019,0.040,0.051,0.011,-40.63%
2021-06-23,0.032,0.055,0.059,0.006,-28.89%
2021-06-22,0.045,0.045,0.071,0.030,7.14%
2021-06-21,0.042,0.007,0.060,0.001,223.08%
2021-06-20,0.013,0.013,0.013,0.013,0.00%
2021-06-19,0.013,0.013,0.013,0.013,-40.91%
2021-06-18,0.022,0.025,0.034,0.002,15.79%
2021-06-17,0.019,0.042,0.051,0.016,-371.43%
2021-06-16,-0.007,0.010,0.014,-0.009,-153.85%
2021-06-15,0.013,-0.014,0.019,-0.026,-244.44%
2021-06-14,-0.009,-0.037,-0.004,-0.043,-71.88%
2021-06-11,-0.032,-0.033,-0.023,-0.053,128.57%
2021-06-10,-0.014,-0.017,0.032,-0.021,55.56%
2021-06-09,-0.009,0.016,0.029,-0.034,-150.00%
2021-06-08,0.018,0.042,0.054,0.005,-66.04%
2021-06-07,0.053,0.028,0.056,0.024,178.95%
2021-06-05,0.019,0.019,0.019,0.019,-34.48%
2021-06-04,0.029,0.053,0.063,0.020,-42.00%
2021-06-03,0.050,0.046,0.067,0.034,42.86%
2021-06-02,0.035,0.045,0.061,0.026,-46.97%
2021-06-01,0.066,0.056,0.080,0.034,20.00%
2021-05-31,0.055,0.063,0.090,0.045,17.02%
2021-05-28,0.047,0.067,0.082,0.041,-28.79%
2021-05-27,0.066,0.027,0.075,0.023,135.71%
2021-05-26,0.028,0.061,0.074,0.022,-61.64%
2021-05-25,0.073,0.090,0.103,0.068,-27.00%
2021-05-24,0.100,0.104,0.126,0.092,-9.09%
2021-05-21,0.110,0.133,0.143,0.097,-17.29%
2021-05-20,0.133,0.180,0.183,0.131,-15.29%
2021-05-19,0.157,0.167,0.201,0.134,-4.27%
2021-05-18,0.164,0.153,0.173,0.132,5.81%
2021-05-17,0.155,0.113,0.175,0.110,13.14%
2021-05-14,0.137,0.132,0.149,0.115,1.48%
2021-05-13,0.135,0.118,0.159,0.115,9.76%
2021-05-12,0.123,0.084,0.124,0.065,39.77%
2021-05-11,0.088,0.056,0.095,0.052,87.23%
2021-05-10,0.047,0.045,0.060,0.030,42.42%
2021-05-07,0.033,0.013,0.035,-0.011,230.00%
2021-05-06,0.010,-0.001,0.029,-0.016,-9.09%
2021-05-05,0.011,0.012,0.034,0.000,"-1,200.00%"
2021-05-04,-0.001,0.034,0.053,-0.017,-103.33%
2021-05-03,0.030,0.036,0.077,0.012,-21.05%
2021-04-30,0.038,0.034,0.044,0.021,-15.56%
2021-04-29,0.045,0.003,0.059,0.001,"1,025.00%"
2021-04-28,0.004,-0.005,0.031,-0.007,-120.00%
2021-04-27,-0.020,-0.024,-0.009,-0.035,-23.08%
2021-04-26,-0.026,-0.005,0.005,-0.039,-7.14%
2021-04-23,-0.028,-0.022,-0.012,-0.050,-6.67%
2021-04-22,-0.030,-0.051,-0.007,-0.056,-6.25%
2021-04-21,-0.032,-0.022,-0.018,-0.053,-15.79%
2021-04-20,-0.038,0.005,0.015,-0.039,322.22%
2021-04-19,-0.009,-0.043,0.014,-0.045,-74.29%
2021-04-16,-0.035,-0.046,-0.019,-0.053,-38.60%
2021-04-15,-0.057,-0.034,-0.024,-0.065,62.86%
2021-04-14,-0.035,-0.079,-0.026,-0.080,-39.66%
2021-04-13,-0.058,-0.055,-0.041,-0.070,7.41%
2021-04-12,-0.054,-0.075,-0.052,-0.099,-23.94%
2021-04-09,-0.071,-0.096,-0.052,-0.104,-31.73%
2021-04-08,-0.104,-0.091,-0.090,-0.118,10.64%
2021-04-07,-0.094,-0.091,-0.086,-0.112,3.30%
2021-04-06,-0.091,-0.093,-0.054,-0.096,-18.39%
2021-04-05,-0.112,-0.111,-0.111,-0.112,1.36%
2021-04-02,-0.110,-0.111,-0.110,-0.112,6.80%
2021-04-01,-0.103,-0.068,-0.054,-0.107,71.67%
2021-03-31,-0.060,-0.055,-0.036,-0.079,7.14%
2021-03-30,-0.056,-0.060,-0.026,-0.066,-35.63%
2021-03-29,-0.087,-0.121,-0.079,-0.136,-26.89%
2021-03-26,-0.119,-0.137,-0.100,-0.141,-20.67%
2021-03-25,-0.150,-0.131,-0.117,-0.155,26.05%
2021-03-24,-0.119,-0.127,-0.103,-0.144,7.21%
2021-03-23,-0.111,-0.093,-0.088,-0.127,33.73%
2021-03-22,-0.083,-0.100,-0.064,-0.103,29.69%
2021-03-19,-0.064,-0.064,-0.048,-0.085,77.78%
2021-03-18,-0.036,-0.052,-0.020,-0.057,-41.94%
2021-03-17,-0.062,-0.105,-0.053,-0.113,-42.59%
2021-03-16,-0.108,-0.116,-0.099,-0.127,-8.47%
2021-03-15,-0.118,-0.107,-0.080,-0.127,18.59%
2021-03-13,-0.100,-0.100,-0.100,-0.100,18.45%
2021-03-12,-0.084,-0.082,-0.066,-0.106,-20.75%
2021-03-11,-0.106,-0.099,-0.078,-0.131,41.33%
2021-03-10,-0.075,-0.085,-0.063,-0.097,2.74%
2021-03-09,-0.073,-0.070,-0.064,-0.110,43.14%
2021-03-08,-0.051,-0.054,-0.044,-0.081,-30.14%
2021-03-05,-0.073,-0.063,-0.045,-0.085,-7.59%
2021-03-04,-0.079,-0.078,-0.071,-0.107,25.40%
2021-03-03,-0.063,-0.130,-0.056,-0.132,-49.60%
2021-03-02,-0.125,-0.133,-0.081,-0.144,-0.79%
2021-03-01,-0.126,-0.073,-0.055,-0.133,404.00%
2021-02-26,-0.025,0.019,0.032,-0.056,-231.58%
2021-02-25,0.019,-0.045,0.038,-0.048,-140.43%
2021-02-24,-0.047,-0.096,-0.026,-0.097,-44.05%
2021-02-23,-0.084,-0.099,-0.049,-0.100,-22.94%
2021-02-22,-0.109,-0.056,-0.044,-0.127,43.42%
2021-02-19,-0.076,-0.085,-0.069,-0.103,-29.63%
2021-02-18,-0.108,-0.137,-0.087,-0.148,-26.03%
2021-02-17,-0.146,-0.129,-0.100,-0.153,2.10%
2021-02-16,-0.143,-0.180,-0.128,-0.193,-17.34%
2021-02-15,-0.173,-0.186,-0.167,-0.197,-22.07%
2021-02-12,-0.222,-0.248,-0.209,-0.266,-12.25%
2021-02-11,-0.253,-0.255,-0.245,-0.272,6.30%
2021-02-10,-0.238,-0.247,-0.229,-0.257,-26.09%
2021-02-09,-0.322,-0.314,-0.301,-0.335,0.63%
2021-02-08,-0.320,-0.306,-0.283,-0.324,1.91%
2021-02-05,-0.314,-0.336,-0.285,-0.339,-3.09%
2021-02-04,-0.324,-0.326,-0.311,-0.341,-2.99%
2021-02-03,-0.334,-0.339,-0.328,-0.352,-4.84%
2021-02-02,-0.351,-0.372,-0.343,-0.377,-7.87%
2021-02-01,-0.381,-0.387,-0.364,-0.391,1.06%
2021-01-29,-0.377,-0.380,-0.351,-0.397,-5.04%
2021-01-28,-0.397,-0.407,-0.386,-0.415,-0.25%
2021-01-27,-0.398,-0.382,-0.378,-0.419,1.79%
2021-01-26,-0.391,-0.416,-0.380,-0.418,-5.33%
2021-01-25,-0.413,-0.366,-0.364,-0.414,11.62%
2021-01-22,-0.370,-0.355,-0.348,-0.378,1.09%
2021-01-21,-0.366,-0.400,-0.347,-0.407,-7.81%
2021-01-20,-0.397,-0.401,-0.385,-0.407,-0.50%
2021-01-19,-0.399,-0.382,-0.370,-0.404,0.00%
2021-01-18,-0.399,-0.420,-0.382,-0.425,-2.68%
2021-01-15,-0.410,-0.429,-0.399,-0.434,-4.43%
2021-01-14,-0.429,-0.408,-0.401,-0.436,6.72%
2021-01-13,-0.402,-0.372,-0.366,-0.408,14.53%
2021-01-12,-0.351,-0.375,-0.339,-0.384,-9.30%
2021-01-11,-0.387,-0.415,-0.382,-0.424,-6.07%
2021-01-08,-0.412,-0.402,-0.394,-0.422,2.23%
2021-01-07,-0.403,-0.394,-0.385,-0.426,3.33%
2021-01-06,-0.390,-0.383,-0.379,-0.410,-7.58%
2021-01-05,-0.422,-0.453,-0.417,-0.461,-8.26%
2021-01-04,-0.460,-0.418,-0.414,-0.477,3.95%
2021-01-01,-0.442,-0.442,-0.442,-0.442,3.63%
2020-12-31,-0.427,-0.424,-0.424,-0.427,-1.16%
2020-12-30,-0.432,-0.417,-0.394,-0.442,1.65%
2020-12-29,-0.425,-0.419,-0.407,-0.438,3.16%
