Date (Switzerland),Price,Open,High,Low,Change %
2019-02-26,-0.296,-0.298,-0.296,-0.314,14.29%
2019-02-25,-0.259,-0.293,-0.259,-0.319,-11.90%
2019-02-22,-0.294,-0.279,-0.279,-0.308,4.26%
2019-02-21,-0.282,-0.297,-0.282,-0.305,-4.73%
2019-02-20,-0.296,-0.284,-0.284,-0.304,1.37%
2019-02-19,-0.292,-0.290,-0.281,-0.297,0.69%
2019-02-18,-0.290,-0.291,-0.290,-0.303,0.00%
2019-02-15,-0.290,-0.290,-0.290,-0.313,0.00%
2019-02-14,-0.290,-0.266,-0.266,-0.298,19.83%
2019-02-13,-0.242,-0.270,-0.242,-0.275,-6.56%
2019-02-12,-0.259,-0.285,-0.259,-0.285,-7.17%
2019-02-11,-0.279,-0.294,-0.276,-0.308,-6.69%
2019-02-08,-0.299,-0.286,-0.283,-0.313,8.33%
2019-02-07,-0.276,-0.246,-0.246,-0.286,19.48%
2019-02-06,-0.231,-0.203,-0.203,-0.252,6.94%
2019-02-05,-0.216,-0.194,-0.193,-0.248,1.41%
2019-02-04,-0.213,-0.243,-0.213,-0.256,-9.75%
2019-02-01,-0.236,-0.212,-0.212,-0.272,1.29%
2019-01-31,-0.233,-0.200,-0.200,-0.270,16.50%
2019-01-30,-0.200,-0.200,-0.200,-0.237,0.00%
2019-01-29,-0.200,-0.200,-0.200,-0.204,0.00%
2019-01-28,-0.200,-0.143,-0.143,-0.200,9.89%
2019-01-25,-0.182,-0.197,-0.181,-0.197,-7.61%
2019-01-24,-0.197,-0.174,-0.174,-0.174,27.10%
2019-01-23,-0.155,-0.163,-0.155,-0.173,1.31%
2019-01-22,-0.153,-0.114,-0.114,-0.167,5.52%
2019-01-21,-0.145,-0.134,-0.134,-0.157,2.11%
2019-01-18,-0.142,-0.096,-0.096,-0.144,3.65%
2019-01-17,-0.137,-0.116,-0.116,-0.171,-1.44%
2019-01-16,-0.139,-0.159,-0.139,-0.176,-11.46%
2019-01-15,-0.157,-0.122,-0.122,-0.183,1.29%
2019-01-14,-0.155,-0.152,-0.152,-0.184,6.16%
2019-01-11,-0.146,-0.165,-0.146,-0.176,2.82%
2019-01-10,-0.142,-0.110,-0.110,-0.175,-7.19%
2019-01-09,-0.153,-0.140,-0.127,-0.156,0.66%
2019-01-08,-0.152,-0.148,-0.148,-0.189,-16.48%
2019-01-07,-0.182,-0.168,-0.168,-0.217,27.27%
2019-01-04,-0.143,-0.194,-0.143,-0.225,-29.90%
2019-01-03,-0.204,-0.197,-0.197,-0.240,21.43%
2018-12-28,-0.168,-0.156,-0.156,-0.183,3.70%
