Date (Sweden),Price,Open,High,Low,Change %
2020-07-30,-0.116,-0.093,-0.089,-0.120,24.73%
2020-07-29,-0.093,-0.094,-0.082,-0.101,-1.59%
2020-07-28,-0.094,-0.072,-0.065,-0.100,24.34%
2020-07-27,-0.076,-0.068,-0.054,-0.080,18.75%
2020-07-26,-0.064,-0.064,-0.064,-0.064,0.00%
2020-07-25,-0.064,-0.064,-0.064,-0.064,0.00%
2020-07-24,-0.064,-0.100,-0.064,-0.113,-37.86%
2020-07-23,-0.103,-0.114,-0.098,-0.118,-11.21%
2020-07-22,-0.116,-0.096,-0.094,-0.120,23.40%
2020-07-21,-0.094,-0.080,-0.080,-0.101,0.00%
2020-07-20,-0.094,-0.065,-0.065,-0.098,16.05%
2020-07-17,-0.081,-0.085,-0.078,-0.097,-11.96%
2020-07-16,-0.092,-0.080,-0.074,-0.094,21.85%
2020-07-15,-0.075,-0.070,-0.068,-0.095,-3.21%
2020-07-14,-0.078,-0.080,-0.057,-0.080,13.04%
2020-07-13,-0.069,-0.101,-0.064,-0.102,-38.39%
2020-07-11,-0.112,-0.112,-0.112,-0.112,0.00%
2020-07-10,-0.112,-0.092,-0.091,-0.120,19.79%
2020-07-09,-0.094,-0.079,-0.077,-0.094,26.35%
2020-07-08,-0.074,-0.071,-0.066,-0.088,12.12%
2020-07-07,-0.066,-0.067,-0.056,-0.082,0.76%
2020-07-06,-0.065,-0.073,-0.059,-0.080,-9.03%
2020-07-05,-0.072,-0.072,-0.072,-0.072,0.00%
2020-07-03,-0.072,-0.064,-0.059,-0.078,12.50%
2020-07-02,-0.064,-0.042,-0.037,-0.066,82.86%
2020-07-01,-0.035,-0.070,-0.034,-0.074,-46.15%
2020-06-30,-0.065,-0.066,-0.062,-0.076,-1.52%
2020-06-29,-0.066,-0.083,-0.062,-0.088,-23.26%
2020-06-27,-0.086,-0.086,-0.086,-0.086,0.00%
2020-06-26,-0.086,-0.073,-0.072,-0.090,8.86%
2020-06-25,-0.079,-0.061,-0.041,-0.091,198.11%
2020-06-24,-0.026,-0.011,-0.004,-0.032,6.00%
2020-06-23,-0.025,-0.036,-0.017,-0.045,-50.98%
2020-06-22,-0.051,0.002,0.011,-0.051,-666.67%
2020-06-21,0.009,0.009,0.009,0.009,0.00%
2020-06-18,0.009,0.008,0.020,-0.004,100.00%
2020-06-17,0.004,0.014,0.037,0.003,-72.73%
2020-06-16,0.016,0.004,0.027,-0.013,-176.74%
2020-06-15,-0.022,-0.020,-0.015,-0.041,26.47%
2020-06-12,-0.017,0.001,0.007,-0.022,"-3,500.00%"
2020-06-11,0.001,0.050,0.058,-0.004,-99.37%
2020-06-10,0.079,0.070,0.091,0.062,27.42%
2020-06-09,0.062,0.069,0.069,0.041,-9.49%
2020-06-08,0.068,0.065,0.090,0.054,39.80%
