Date,Price,Open,High,Low,Change %,Change_num,positive,negative,neutral,avg_positive,avg_negative,avg_neutral,custom_est
2020-11-01,0.838,0.812,0.84,0.807,3.39%,0.0269999999999999,1.8422081973403688,1.093377262353897,0.0644145775586365,0.6140693991134564,0.364459087451299,0.0214715258528788,0.2496103085625878
2020-11-02,0.867,0.843,0.877,0.843,3.46%,0.029,9.04608161188662,8.242954023182392,0.7109646927565328,0.5025600895492567,0.4579418901767995,0.039498038486474,0.0446181985598468
2020-11-03,0.896,0.859,0.898,0.859,3.40%,0.029,3.71493907738477,8.9367387983948,1.3483220525085924,0.2653527912417693,0.6383384855996285,0.096308718036328,-0.3729856962683942
2020-11-04,0.856,0.859,0.891,0.834,-4.52%,-0.04,1.329453183338046,6.5360336899757385,0.1345132831484076,0.1661816479172557,0.8170042112469673,0.0168141603935509,-0.6508225506010712
2020-11-05,0.861,0.852,0.861,0.823,0.58%,0.005,5.011397095397114,8.727262711152434,1.2613400677219029,0.3340931396931409,0.5818175140768289,0.0840893378481268,-0.2477243764600897
2020-11-08,0.865,0.845,0.869,0.845,0.46%,0.004,0.0489676231518386,2.8604758381843567,0.0905564837157725,0.0163225410506128,0.9534919460614524,0.0301854945719241,-0.9371694221760444
2020-11-09,0.902,0.851,0.941,0.851,4.34%,0.037,5.559965161606669,9.836350988596678,0.6036836588755242,0.3474978226004168,0.6147719367872924,0.0377302286797202,-0.2672741173761427
2020-11-10,0.862,0.916,0.92,0.856,-4.54%,-0.04,6.806711743585765,10.380562718957664,1.812725469470024,0.3582479865045139,0.5463454062609296,0.095406603656317,-0.1880974204294732
2020-11-11,0.844,0.855,0.873,0.841,-2.09%,-0.018,5.08157018199563,8.12990745343268,1.788522732444107,0.3387713454663753,0.5419938302288453,0.1192348488296071,-0.2032224797784736
2020-11-12,0.817,0.832,0.84,0.817,-3.08%,-0.027,7.566446710377932,14.184364205226302,2.2491890098899594,0.3152686129324138,0.5910151752177626,0.0937162087454149,-0.2757465631413788
2020-11-15,0.813,0.803,0.813,0.782,-0.61%,-0.004,7.727751291356981,2.913812531158328,0.3584362696856257,0.7025228446688164,0.2648920482871207,0.0325851154259659,0.4376307927135168
2020-11-16,0.8,0.83,0.83,0.784,-1.54%,-0.0129999999999999,1.916201250627637,1.2754467083141208,0.808352006599307,0.4790503126569092,0.3188616770785302,0.2020880016498267,0.1601886369583615
2020-11-17,0.788,0.813,0.813,0.784,-1.56%,-0.012,2.017618491314352,7.718932677060366,0.2634486453607675,0.2017618491314351,0.7718932677060366,0.0263448645360767,-0.5701314291941268
2020-11-18,0.789,0.803,0.804,0.771,0.13%,0.001,7.339300527703017,8.584047401323915,1.0766522064805026,0.4317235604531186,0.5049439647837597,0.0633324827341472,-0.0732204037469993
2020-11-19,0.788,0.805,0.805,0.776,-0.06%,-0.001,2.247445966117084,7.281520962715149,0.4710330534726374,0.2247445966117083,0.7281520962715149,0.0471033053472637,-0.5034075005505926
2020-11-22,0.779,0.787,0.793,0.774,-1.21%,-0.009,1.5243428349494934,1.425458163022995,0.0501989964395759,0.5081142783164978,0.475152721007665,0.016732998813192,0.0329615573702284
2020-11-23,0.785,0.78,0.795,0.775,0.90%,0.006,7.475918057374656,5.342710812576115,2.181371484883129,0.4983945371583104,0.3561807208384077,0.1454247656588752,0.1422138129557506
